Gene,099535T,090608T,098699T,11770T,81023T,81032T,85421T,86279T,86960T,87823T,88659T,88674T,88724T,89290T,96484T
CCL19,4.07008,5.38006,1.81938,1.70883,1.98328,0.935789,51.6682,3.86489,0.457634,5.55936,0.312953,2.30082,5.59577,12.5112,2.79385
CCL21,11.7955,22.1444,1.01961,5.62632,18.0924,60.1412,35.011,137.23,12.5382,44.2213,0.946314,6.72959,7.50674,14.0919,1.00431
CCR7,0.21268,0.596055,0.706318,1.43825,0.945368,0.141685,2.28697,0.394876,0.385646,0.722129,0.0403004,0.659933,1.54782,0.172796,0.150868
CXCL13,0.316293,0.386662,0.955245,7.8757,0.0827722,0.141685,16.6505,0.158926,0.0270864,1.99734,0.0403004,22.1698,6.10129,0.0300952,0.0730821
CXCR5,0.00911365,0.223804,0.0164712,0.0317972,0.0827722,0.141685,0.0378612,0.158926,0.0187079,0.722129,0.0403004,0.659933,0.0918808,0.0300952,0.0167733
LAMP3,0.386222,0.267233,2.49436,6.55401,0.547717,0.314949,1.28064,0.695901,1.19844,1.43539,0.563758,3.15991,1.31251,2.08626,3.5514
SELL,0.494443,0.223804,1.46479,3.94623,2.52717,2.96281,6.4925,0.792867,3.19481,2.97222,0.378728,5.34924,2.76586,0.911227,1.15266
group,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
