Entrez ID,1T,2T,3T,4T,5T,6T,7T,8T,10T,11T,12T,13T,14T,15T,16T,17T,18T,19T,20T,21T,22T,23T,24T,25T,26T,27T,28T,29T,30T,31T
5729,0.057885822999999996,0.086426108,0.03695954,0.534090421,0.17398945,0.0056390469999999995,0.017534075,0.019909428,0.025589007999999996,0.13187621300000002,0.138296797,0.008466729000000001,0.21739274,0.166843872,0.011197338999999999,0.013807321000000001,0.007220071999999999,0.004438675,0.06736850900000001,0.02449315,0.35388752100000004,0.048348195,0.018042495,0.009633852,0.123515881,0.069157971,0.017910849,0.05165165099999999,0.00643553,0.0023776179999999997
117157,0.449839184,0.112458962,0.130250017,0.021059592,0.293478511,0.018652386,0.006663124,0.086354831,0.069368343,0.064349748,0.149961574,0.056011131,0.303080065,0.247569918,0.059260258,0.104803386,0.015658112,0.147269449,0.020871649,0.053118098,0.085274779,0.06990156,0.007133298000000001,0.029679703,0.020605223,1.289848058,0.038843113,0.074677679,0.372521304,0.007864494
55803,2.5829587259999998,1.6637590340000001,3.176318269,3.063269586,4.003030352,1.196557297,4.630571142,2.729587338,1.200466243,2.288032967,3.0272518180000003,5.243469137,2.537095891,5.561435854,1.204566248,1.200566952,2.376864648,3.255128231,3.425153866,1.366980294,1.8526235530000001,3.988861449,1.3718068280000002,0.74719502,0.976004187,5.5379106920000005,1.499425961,2.903604948,2.6834926869999998,1.07355066
1436,3.766814304,5.053984758,4.97338967,10.03619157,7.661877282000001,3.251706136,10.32577328,5.481256394,2.041890572,3.960740297,7.518173732999999,17.82051617,2.85915899,14.23647899,1.93101943,2.829621678,6.475617009,7.951752873999999,12.15131838,3.768258367,5.44164647,9.623580643,2.905986866,1.305618876,2.266074548,14.31959811,2.4523296169999997,6.326846064,5.098277973,1.571775381
2359,5.415069469,6.846194453,5.014342023999999,12.4096819,26.03779271,1.185694464,7.155786947999999,7.00334408,2.162806377,3.4701420769999998,8.095275093,8.03470555,5.323402522,16.16986823,1.472440035,4.80399155,8.586907421,14.89099938,7.61312396,2.090282384,5.797185799,8.851735676,0.740275828,2.732689319,2.255822315,14.39191086,1.518740496,1.525856464,2.534503606,1.936236819
8942,40.4607953,9.204484655,7.220691886,7.080178739,3.208672906,0.263411053,16.43069592,17.46656506,1.156592322,9.706407084,5.012634065,22.81128556,5.400020689,8.285062514,9.590373519,2.639527174,8.310041929,18.99674681,39.03083285,13.94412763,4.729633286,2.467893823,13.85902736,15.64338748,11.61140858,14.77180924,4.494544043,5.196488024,2.802520553,0.408426165
7941,3.069204168,4.110951374,4.102047918999999,5.950087493,7.20812597,1.407670316,1.659086485,6.781838497000001,2.11368569,2.023495102,4.854102181,4.4648576460000005,2.467323482,14.12959815,0.92241009,3.6722072669999997,6.469788231,5.074521474,5.641024017,0.626367318,1.176503001,8.753827084,0.276842195,1.833907426,0.466514466,3.08441751,0.8061451959999999,1.329702048,3.4439255419999997,2.047653429
83937,2.163986783,6.587222602000001,3.592183168,7.103034945,9.668408887,1.84935991,6.4520292679999995,3.98794113,1.5720642830000002,21.90026914,3.340986338,24.33482615,5.061330776,9.328468884,3.8383610289999996,2.1537716369999997,23.194812600000002,7.568391462,5.977231242999999,2.619580159,2.591824464,4.855064039,2.508430084,11.04827714,15.40748237,14.20447681,29.374333899999996,1.7050583069999998,2.1168531219999998,1.8124648819999998
22797,0.35213150200000004,0.44587474200000005,0.142682209,0.296498111,0.8277340390000001,0.08451721,0.412295168,0.527541112,0.07184458,0.233726753,0.7553392729999999,0.356523215,0.7811146440000001,1.21115517,0.035962305,0.210789631,0.9578200159999999,0.587026397,0.628235423,0.156876575,0.341545463,0.35915615799999995,0.018996274,0.105665921,0.133379786,11.14780248,0.081716564,0.169188783,0.210133656,0.08654309800000001
909,2.833571295,0.300105079,0.294107701,0.323144733,0.018006685,0.024887638,0.241003647,0.403277472,0.083301555,0.543786567,0.112551632,6.42720386,0.224664341,1.651646709,0.011197338999999999,0.089895731,1.859425052,0.051710453,0.86331191,0.070874791,0.071113147,0.186537497,2.466865941,0.019800622,0.329919386,0.260155334,0.038870898,0.016079531,0.00643553,0.0023776179999999997
910,0.356451166,0.169050954,0.040163054,0.018089871,0.018006685,0.0056390469999999995,0.190538624,0.173080814,0.069517415,0.28661349,0.05635644,0.299367995,0.011581148999999999,0.22901718,0.029693804,0.105028608,0.360910506,0.13981825,0.773910572,0.06654031,0.170916068,0.210155336,0.058819051,0.014871742,0.082598012,0.090182786,0.019463293,0.037419081,0.085330709,0.031525581
913,0.539312675,0.64417425,0.121533864,0.021287839,0.018006685,0.0056390469999999995,0.278676505,0.545567234,0.028048067,0.404738009,0.08526762,2.311909357,0.011581148999999999,0.972137111,0.09734161,0.128640531,0.585629223,0.250720972,1.107637592,0.234910373,1.594681492,0.264971865,0.415303298,0.022501032,0.177042633,1.106737403,0.078528201,0.028307643,0.010758821,0.0023776179999999997
10462,0.888793453,2.993730409,1.021474908,0.8111097759999999,0.178098512,0.655008375,1.1630415920000001,3.081399078,0.72293609,1.7575789000000002,1.719989429,3.2253265389999997,0.152589837,3.678151896,0.40277781799999995,0.237441194,2.101882812,3.40676003,5.402486873,2.421916436,10.83113113,2.811033235,1.2632522290000001,0.159699631,1.388817027,0.178393965,0.858023918,0.348951865,0.506387664,0.05345309
1193,1.380607097,3.3042456469999997,1.3222565020000001,4.7185421530000005,16.15507931,0.413326639,1.7976222659999999,2.859732474,0.512388131,2.147734805,3.8769104810000004,6.959779009,4.985935153,8.355620464,0.60551948,0.892090933,3.6779367080000003,2.503856187,5.23143727,2.380292816,5.605938737000001,1.78993267,1.156091445,2.762280837,1.207454437,3.6337219,0.9659438570000001,0.983696397,0.891001576,0.449236751
645638,1.1176173679999999,0.6674609770000001,2.013337361,2.9998049239999998,1.67963088,0.18977955300000002,2.9259111160000004,2.0318114119999997,1.9232814569999999,5.983499545,1.335066991,79.90301877,4.225813711,6.055075435,6.067146017000001,3.160897345,2.9871407060000004,2.149020626,8.441291703,0.540452499,1.138767147,5.756409385,1.393405489,11.1542933,1.886838961,31.16859202,0.34580964,0.21369696800000001,60.2376624,3.540781266
