"","X099535T","X090608T","X098699T","X11770T","X81023T","X81032T","X85421T","X86279T","X86960T","X87823T","X88659T","X88674T","X88724T","X89290T","X96484T"
"CD28",-4.28949994875332,-4.56742365239055,-1.72877036206962,-1.25125025683784,-1.52874385387373,-0.711072150747547,-0.810260187120428,-2.02609929617721,-0.987688782039991,0.381305525040669,0.353368462903175,-1.50419842975102,-1.02740732730752,-2.8790535847267,-2.57016446829699
"CD3D",2.00654219306344,2.2799110203161,2.15907369942479,4.94606643123668,3.69669495279713,1.06001970580174,5.35979874725996,2.8252279760623,2.35757733952806,3.92814288518444,1.75901518016018,4.10993718782524,4.18010806871201,3.37751248848501,0.510911297510645
"CD3G",-0.553532013902674,0.103034291504663,-0.304444405264974,1.71232724470916,0.147072201071286,-2.91021984611471,0.561067026911265,-0.0654351892253097,-0.912778872848892,-0.356745943649794,-3.81675259414374,0.455891364050743,0.422900361921344,-1.13035596942542,-1.93912805944773
"CD5",-0.796513152563641,-2.03608203813794,-0.443930659454974,0.948877399827336,0.457993453173271,-2.57626049283468,0.23600883262497,-0.557868621757089,-1.05379317096247,-0.0149790904567186,-2.74078898890161,0.21478381720356,0.555364628819965,-1.67491758503709,4.93649660685157
"CD6",-0.804899381968412,-1.62786361741626,-0.747443857021071,1.44866312466863,0.435767256782133,-2.03603470348813,1.0679415409207,-0.137533532118874,-0.685923023757477,0.569598026307221,-1.70819372455625,0.8054080316897,0.710216839752622,-1.28163530488401,-1.2157674116484
"CHRM3-AS2",-19.807240434322,-20.0269881344029,-4.77441114225342,-19.3659713934699,-2.39263701512648,-24.1694323994231,-20.9904622583777,-4.02829393531874,-19.0676301189002,-3.94720351828753,-20.6189033957658,-3.93200891210478,-19.4461417421539,-19.1917204666248,-24.6494253405427
"CTLA4",-2.44810702372552,-4.33643057912086,-1.70042709461471,-0.137970022470236,-1.49519861474411,-24.1694323994231,0.92035428470977,-3.46185521683771,-3.28011039238635,0.225965875783585,-2.01601592473074,0.58379825708008,-0.85195358047886,-3.94789354633884,-1.93650810229145
"FLT3LG",1.06635789430032,1.51234826503967,-0.0353573964403244,2.4304378319193,2.16938950191163,-0.363924374989159,1.08195311964706,1.59622912216968,1.66859570731728,3.60091197146423,2.81510401682459,2.29115559297068,1.21350281998392,1.22840005584181,-0.726968770134952
"ICOS",-2.24547161329404,-3.9195049644956,-1.91361296161391,0.29325275642788,-1.66049314998756,-6.45820527214318,0.149129269909933,-6.05067454843773,-5.59865788281282,-1.32761267778702,-3.60649154029085,0.274434625177499,-0.54332209602859,-2.84787110903208,-6.74522215505775
"MAL",-1.17585945339842,-2.60957883717145,-2.71765746527643,-1.58361421108515,-1.89867802979598,-4.31480149996647,-1.109754111757,-2.71410305856464,-2.09461829038944,-1.16345210513265,-4.0607318913096,-0.908260904784571,-1.93280186796266,1.77180530920836,-1.12531160910197
