PC1,Genesymbol
0.27280335163847247,931.0
0.25906684761830007,973.0
0.24122020564799915,930.0
0.23673651417067,79368.0
0.23166846615481496,3514.0
0.22862425521959567,1380.0
0.226221708545417,5079.0
0.1779797077042766,55024.0
0.16644077074781827,29851.0
0.1513378013593338,50852.0
0.14990306513573,100506915.0
0.146696621884533,910.0
0.13933786626473382,387357.0
0.13829765071137842,913.0
0.13260683050415142,4118.0
0.12897865416063642,8320.0
0.12741633506616018,921.0
0.1261574877401193,926.0
0.1242171273577147,26585.0
0.12296772529712807,923.0
0.11783969546109396,7450.0
0.11724882826103075,1493.0
0.11653350956733793,925.0
0.11575076856142467,940.0
0.115245261307274,915.0
0.11078442423592891,917.0
0.10927787221066868,909.0
0.10486047352772655,22915.0
0.10043767920087043,55423.0
0.09896082625762757,79689.0
0.09837283431315308,22797.0
0.09639665671894965,660.0
0.09619748994115482,3824.0
0.09597320070634992,8302.0
0.09299669467633617,9437.0
0.09268690985411636,3823.0
0.09049307346882171,645638.0
0.08705906276633783,10462.0
0.080801522844877,5729.0
0.07704215638967946,1193.0
0.07582968178599499,933.0
0.07132083231674792,1906.0
0.07005342225194268,3804.0
0.07004361476814583,7941.0
0.06955258275792368,1084.0
0.06942961137960393,1634.0
0.0665572653505589,3805.0
0.0654334306102749,3811.0
0.06042954818748667,2359.0
0.05999248961586174,7010.0
0.05786274530985042,2323.0
0.056437545089333324,654.0
0.05619102795617426,4051.0
0.055458612481050565,8436.0
0.05391193935904476,10578.0
0.05370508987716148,80714.0
0.0523423918838135,25891.0
0.05042822199935512,3579.0
0.049791279578038514,117157.0
0.04944839474966148,3772.0
0.04884223545025249,1436.0
0.047963239691789616,51705.0
0.04793246118027727,8942.0
0.046149524541904685,80177.0
0.04296244204148393,83888.0
0.04266807614893991,79742.0
0.0418731012607246,79812.0
0.041332440816481096,1292.0
0.04054200201112754,64123.0
0.03822938280474909,94.0
0.03822029544626369,8718.0
0.03802388909295557,3034.0
0.037857305388652694,64399.0
0.03754482117136167,79674.0
0.036217094927666824,6876.0
0.035940353085159485,161198.0
0.03592499906927719,3791.0
0.034783339002167915,1003.0
0.034541892949812074,7075.0
0.03418029826649047,126669.0
0.032478871344846075,54538.0
0.030424382834435864,1281.0
0.030242882702787254,55803.0
0.029251691606636206,79843.0
0.02782772633203121,11126.0
0.02713629936588563,1291.0
0.026913610995915473,3577.0
0.025404815946757454,2215.0
0.025297384712560003,3802.0
0.02504602519021916,5787.0
0.023376911007488062,7090.0
0.022810626353255474,8794.0
0.02123577861141998,5228.0
0.01910308289220359,90952.0
0.01779470481407081,1955.0
0.017009945834326304,1277.0
0.017007292044640524,255877.0
0.016946413731281803,57520.0
0.01597867762543999,51312.0
0.013458444161336602,85358.0
0.012840017697010077,8862.0
0.010173511072970348,762.0
0.00940407831603016,9895.0
0.007596402749226676,375033.0
0.007574682152767538,83937.0
0.0034505926372761556,5362.0
0.002314409719238548,11082.0
0.0017779261712736196,55350.0
