Ensenble,1T,2T,3T,4T,5T,6T,7T,8T,10T,11T,12T,13T,14T,15T,16T,17T,18T,19T,20T,21T,22T,23T,24T,25T,26T,27T,28T,29T,30T,31T
ENSG00000215788,-0.042505313836642335,0.08930138174935097,0.7308071323610625,2.9501562640426924,2.4014066179779934,0.17880535333071798,-0.38278038037363715,1.2657333052215198,3.12048066048133,0.8739037251246914,2.3464307722431443,1.1239520918753332,0.9436843503839482,1.741893104748819,-0.05508625469039852,2.9260184511850063,1.7743522986738036,1.9454564512247863,1.9650217769837397,0.34534686983272306,0.6486738322928061,1.4632814200376183,-0.6859883889729883,3.0968492875344986,1.0423472629188013,-0.11888848246600317,0.7042299657241655,-0.8717166992107648,1.8907595478876096,1.5541472599922979
ENSG00000066056,0.24999123248378186,0.9981733804559242,0.9140088464965133,0.9984817191790686,2.9718333840884394,-0.3166835385093383,0.779329676671531,1.1590173185187937,-0.5536780058926765,2.0004054542997225,0.8557257229358247,0.6951743095083194,2.969827659478632,1.6670250531338933,0.6216226645576032,-0.10111726092678028,0.2200994049367646,1.195480877657556,2.6357464967081885,1.2122915838262798,2.6963782605929234,0.5211658804828261,-0.7346479565986025,0.8368573568477159,0.9218254769169146,-0.00033910636705378487,1.4148640967514774,0.7729198730712039,-0.044391946751526204,-2.8915663584221356
ENSG00000162618,1.1689109274427572,1.638859872108851,1.3098633684249057,2.4841840123000676,2.82422687690804,0.9763318645617198,1.2885256724183467,1.9774561490650857,0.2819411020644384,2.2622125566635902,2.669677162513224,1.605434861636496,5.0169619769883855,2.8458313749933484,1.1774687530739885,0.2478039028967433,1.4066917279160949,1.177709923284634,2.9825907103313805,2.0214797409135086,2.997978836521433,1.2020533039179764,0.15983819355620307,1.126441226923718,1.552539291629748,0.8732683157204142,1.9100853686112715,1.1366854293323894,0.9445472367884767,0.20649659671063592
ENSG00000099260,-1.4654817054470002,3.038216433651565,-0.5708511638175289,0.005924113644124888,0.4942049436194914,-3.396728910592961,-0.1832361226771774,0.49975420260583375,-1.9232754689052132,0.18030851088616356,0.08724553532360761,-1.962378649938081,1.4735348384341365,0.9742721925063883,-0.6643712608166833,-1.554632027858196,-0.4114112221988921,-0.00827854091607606,1.3977236656597878,-0.11429614169754061,1.4815964217727502,-0.6834095427955129,-2.376774747388869,0.34663649525370444,0.8058146100978332,4.454615376981892,0.2703789361587647,-1.6875927782839066,-2.3056567902074163,-4.462090946838494
ENSG00000117281,-5.091499286054595,-6.250207704995802,-4.346445083479202,-3.2747395130858132,-1.1580065667819044,-2.3030154206131805,-7.229585542411214,-2.092098748565996,-3.5967597682175327,-2.0859736033739433,-1.4426960611911068,-1.0463675163873174,-1.3459762047754342,-1.1397847074237244,-2.945650849249099,-2.9304572575745302,-2.0502300715675377,-4.524113176624348,-2.451171181291249,-2.0194480151079532,-1.1818097916694992,-2.351247287238727,-4.188347972330678,-3.49963246443434,-2.5285993997026086,0.14246613334920183,-0.4044972618293924,-3.555455138101741,-3.2592490216853847,-3.415683186300101
ENSG00000169291,-3.0426893608145393,-1.1212274636469242,-1.6951143079815574,-1.8050155378077755,0.15271108343702888,-3.089757323696215,1.3641336691938337,-1.2319504056182475,-4.120839524939158,-0.9462485048513367,-0.9642018795273515,-2.503403976585407,0.2739904061079822,-0.4008300620276791,-0.7157838412944517,-2.179053120717443,0.4266734870541232,-1.136980750304076,0.08659436398634597,-0.603839903591827,0.8829800454706237,-1.3336883120721572,-3.1395380577547427,-2.3821661979366673,-1.5501788205269873,1.231918025846291,-0.13983488486937082,-3.1269145978996793,-2.3397221231948646,-5.776264186322446
ENSG00000187800,-0.5175337766456748,-1.2449029114860286,-1.069639779416791,-0.49724061950695375,0.10616339207609864,-2.370088350237891,-0.25707061654536933,-0.7223078168925663,-2.8692490210857624,-0.24062635742738261,0.32391451465853066,-1.7038816876902059,0.9991706044032671,0.13521384523548183,-0.2655197969834919,-1.759339846362756,-2.3653804668447656,-0.6999210644106849,0.4401685556016903,-0.6709026314249225,0.5840596085994051,-1.7772817906076879,1.6586360249146714,-1.1627061662494778,-0.9257790396285724,-1.6159432505971338,0.09884257488963795,-0.6495078764725293,-1.5146647456511562,-2.5473098913438683
ENSG00000132704,-6.433239779018252,-2.9480920461694335,-6.495540543547931,-4.1019068478546075,-4.108556324099531,-7.47033291717022,-4.11189439908996,-6.388035591457976,-7.897343910916135,-5.982302944818876,-3.421866496287079,-3.897121684829436,-4.331572910499087,-2.359534702641609,-6.480700267101671,-5.916053943053071,-2.2075460233376036,-3.865853706357428,-0.993824395089793,-5.504146505679393,-3.3187305171581265,-4.523062815106342,-7.131215039946706,-3.7589108330785415,-2.811446232517587,-1.5736699011472561,-5.218725530341626,-5.958630862476901,-7.27972531774133,-5.844886542766426
ENSG00000158477,1.5026215023058989,-1.7364603594696308,-1.7655835342290214,-1.629747617852065,-5.795323581782158,-5.328426874175961,-2.0528731166105327,-1.3101552791303206,-3.585512762973222,-0.8788875815567747,-3.151341118848411,2.6841912329388204,-2.1541569385269024,0.7239051239959438,-6.480700267101671,-3.4756035836163637,0.8948565982929824,-4.273400246431069,-0.21204620325748538,-3.8185836140226184,-3.8137398879001063,-2.4224624306350946,1.3026793161610957,-5.658310439155653,-1.5998145420092327,-1.9425548074979604,-4.685165752404233,-5.958630862476901,-7.27972531774133,-8.716267341561384
ENSG00000158485,-1.4882236546710075,-2.5644699371169684,-4.637987213734676,-5.788674069727336,-5.795323581782158,-7.47033291717022,-2.3918446194515974,-2.5304822839964216,-3.8464817531347526,-1.8028215805486862,-4.149275709364948,-1.7400081016903126,-6.432077795310376,-2.1264722669969243,-5.073694264506987,-3.2511457479651,-1.470286954607356,-2.8383754118128395,-0.369761227207632,-3.9096276022671876,-2.5486400622136425,-2.250472006834279,-4.087572682133199,-6.071282542548129,-3.597749131038672,-3.4710041102018327,-5.683100369026058,-4.740082062864213,-3.5507911545735444,-4.987333230859775
