gene,ensembl,entrez
CCL19,ENSG00000172724,6363
CCL21,ENSG00000137077,6366
CXCL13,ENSG00000156234,10563
CCR7,ENSG00000126353,1236
CXCR5,ENSG00000160683,643
SELL,ENSG00000188404,6402
LAMP3,ENSG00000078081,27074
