Gene,099535T,090608T,098699T,11770T,81023T,81032T,85421T,86279T,86960T,87823T,88659T,88674T,88724T,89290T,96484T
CD79A,-2.824351494,-1.166943149,0.29971356,2.777569106,-2.359216211,-3.568171254,2.181541496,-0.933540149,-2.123245366,1.56726798,-3.163552286,1.224849093,2.469672421,-0.858297792,0.245057494
MS4A1,-3.841681588,-3.969494976,-3.016587888,-0.444329103,-4.891133285,-4.831961866,1.336963151,-4.425152505,-4.77121258,-1.120262871,-5.281818403,-2.247203462,-0.295009438,-3.754920107,-4.533168894
group,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
